mr,total,passed,failed,failure_rate
LessSensitiveRelation,20470,18283,2187,0.10683927699071813
TranslationRelation,10235,9512,723,0.07063996091841719
RotationRelation,10235,9938,297,0.029018075232046896
ContrastRelation,10235,9984,251,0.02452369320957499
FogRelation,10235,9986,249,0.02432828529555447
BrightnessRelation,10235,10115,120,0.01172447484123107
BlurRelation,10235,10235,0,0.0
NoiseRelation,10235,10235,0,0.0
RainRelation,10235,10235,0,0.0
SnowRelation,10235,10235,0,0.0
TemporalSmoothnessRelation,10235,10235,0,0.0
