mr,param,original,transformed,difference,percent_change,passed,range_change,range_percent_change,range_passed,severity,status,sample_id,expected_behavior,actual_behavior
BrightnessRelation,0.1,-1.6304872035980225,-1.635307788848877,0.004820585250854492,0.2956528750233725,True,0.007868051528930664,0.482558016155414,True,0.004820585250854492,PASS,0,Output should remain approximately same under brightness change,Consistent
BrightnessRelation,0.825,-1.6304872035980225,-1.6314376592636108,0.0009504556655883789,0.05829270420301075,True,0.007868051528930664,0.482558016155414,True,0.0009504556655883789,PASS,0,Output should remain approximately same under brightness change,Consistent
BrightnessRelation,1.55,-1.6304872035980225,-1.6279650926589966,0.002522110939025879,0.15468440271204045,True,0.007868051528930664,0.482558016155414,True,0.002522110939025879,PASS,0,Output should remain approximately same under brightness change,Consistent
BrightnessRelation,2.275,-1.6304872035980225,-1.6274397373199463,0.003047466278076172,0.1869051411320415,True,0.007868051528930664,0.482558016155414,True,0.003047466278076172,PASS,0,Output should remain approximately same under brightness change,Consistent
BrightnessRelation,3.0,-1.6304872035980225,-1.6278657913208008,0.0026214122772216797,0.1607746852407132,True,0.007868051528930664,0.482558016155414,True,0.0026214122772216797,PASS,0,Output should remain approximately same under brightness change,Consistent
RotationRelation,-60.0,-1.6304872035980225,-1.631699562072754,0.0012123584747314453,0.07435555020000242,True,0.006558656692504883,0.4022510974339954,True,0.0012123584747314453,PASS,0,Small rotation should not significantly change output,Consistent
RotationRelation,-30.0,-1.6304872035980225,-1.63371741771698,0.0032302141189575195,0.19811330813859054,True,0.006558656692504883,0.4022510974339954,True,0.0032302141189575195,PASS,0,Small rotation should not significantly change output,Consistent
RotationRelation,0.0,-1.6304872035980225,-1.6304887533187866,1.5497207641601562e-06,9.504642601770222e-05,True,0.006558656692504883,0.4022510974339954,True,1.5497207641601562e-06,PASS,0,Small rotation should not significantly change output,Consistent
RotationRelation,30.0,-1.6304872035980225,-1.627158761024475,0.0033284425735473633,0.20413778929540488,True,0.006558656692504883,0.4022510974339954,True,0.0033284425735473633,PASS,0,Small rotation should not significantly change output,Consistent
RotationRelation,60.0,-1.6304872035980225,-1.6294387578964233,0.001048445701599121,0.06430256283274546,True,0.006558656692504883,0.4022510974339954,True,0.001048445701599121,PASS,0,Small rotation should not significantly change output,Consistent
TranslationRelation,0.0,-1.6304872035980225,-1.6304887533187866,1.5497207641601562e-06,9.504642601770222e-05,True,0.0019674301147460938,0.12066509346124288,True,1.5497207641601562e-06,PASS,0,Small translation should preserve prediction consistency,Consistent
TranslationRelation,20.0,-1.6304872035980225,-1.6311402320861816,0.0006530284881591797,0.04005110167115175,True,0.0019674301147460938,0.12066509346124288,True,0.0006530284881591797,PASS,0,Small translation should preserve prediction consistency,Consistent
TranslationRelation,40.0,-1.6304872035980225,-1.631542682647705,0.0010554790496826172,0.06473392738159503,True,0.0019674301147460938,0.12066509346124288,True,0.0010554790496826172,PASS,0,Small translation should preserve prediction consistency,Consistent
TranslationRelation,60.0,-1.6304872035980225,-1.6298000812530518,0.0006871223449707031,0.042142123043541195,True,0.0019674301147460938,0.12066509346124288,True,0.0006871223449707031,PASS,0,Small translation should preserve prediction consistency,Consistent
TranslationRelation,80.0,-1.6304872035980225,-1.629575252532959,0.0009119510650634766,0.05593116607964785,True,0.0019674301147460938,0.12066509346124288,True,0.0009119510650634766,PASS,0,Small translation should preserve prediction consistency,Consistent
NoiseRelation,0.0,-1.6304872035980225,-1.6304887533187866,1.5497207641601562e-06,9.504642601770222e-05,True,0.0004864931106567383,0.029837266506018676,True,1.5497207641601562e-06,PASS,0,Noise should not significantly affect prediction,Consistent
NoiseRelation,37.5,-1.6304872035980225,-1.6304378509521484,4.935264587402344e-05,0.0030268631054868244,True,0.0004864931106567383,0.029837266506018676,True,4.935264587402344e-05,PASS,0,Noise should not significantly affect prediction,Consistent
NoiseRelation,75.0,-1.6304872035980225,-1.630537986755371,5.078315734863281e-05,0.0031145982679647035,True,0.0004864931106567383,0.029837266506018676,True,5.078315734863281e-05,PASS,0,Noise should not significantly affect prediction,Consistent
NoiseRelation,112.5,-1.6304872035980225,-1.630491852760315,4.649162292480469e-06,0.00028513927805310664,True,0.0004864931106567383,0.029837266506018676,True,4.649162292480469e-06,PASS,0,Noise should not significantly affect prediction,Consistent
NoiseRelation,150.0,-1.6304872035980225,-1.6309243440628052,0.00043714046478271484,0.02681040340053185,True,0.0004864931106567383,0.029837266506018676,True,0.00043714046478271484,PASS,0,Noise should not significantly affect prediction,Consistent
BlurRelation,1.0,-1.6304872035980225,-1.6304887533187866,1.5497207641601562e-06,9.504642601770222e-05,True,7.545948028564453e-05,0.004628029820708116,True,1.5497207641601562e-06,PASS,0,Blur should not significantly change output,Consistent
BlurRelation,8.5,-1.6304872035980225,-1.6304141283035278,7.30752944946289e-05,0.004481804549911651,True,7.545948028564453e-05,0.004628029820708116,True,7.30752944946289e-05,PASS,0,Blur should not significantly change output,Consistent
BlurRelation,16.0,-1.6304872035980225,-1.630415678024292,7.152557373046875e-05,0.004386758123893948,True,7.545948028564453e-05,0.004628029820708116,True,7.152557373046875e-05,PASS,0,Blur should not significantly change output,Consistent
BlurRelation,23.5,-1.6304872035980225,-1.630413293838501,7.390975952148438e-05,0.004532983394690413,True,7.545948028564453e-05,0.004628029820708116,True,7.390975952148438e-05,PASS,0,Blur should not significantly change output,Consistent
BlurRelation,31.0,-1.6304872035980225,-1.630420207977295,6.699562072753906e-05,0.004108930109380665,True,7.545948028564453e-05,0.004628029820708116,True,6.699562072753906e-05,PASS,0,Blur should not significantly change output,Consistent
ContrastRelation,0.1,-1.6304872035980225,-1.635307788848877,0.004820585250854492,0.2956528750233725,True,0.007915735244750977,0.48548252157134325,True,0.004820585250854492,PASS,0,Contrast change should not significantly affect output,Consistent
ContrastRelation,1.075,-1.6304872035980225,-1.6300933361053467,0.00039386749267578125,0.02415641473557601,True,0.007915735244750977,0.48548252157134325,True,0.00039386749267578125,PASS,0,Contrast change should not significantly affect output,Consistent
ContrastRelation,2.05,-1.6304872035980225,-1.627392053604126,0.0030951499938964844,0.1898296465479708,True,0.007915735244750977,0.48548252157134325,True,0.0030951499938964844,PASS,0,Contrast change should not significantly affect output,Consistent
ContrastRelation,3.025,-1.6304872035980225,-1.6278733015060425,0.0026139020919799805,0.16031407563770436,True,0.007915735244750977,0.48548252157134325,True,0.0026139020919799805,PASS,0,Contrast change should not significantly affect output,Consistent
ContrastRelation,4.0,-1.6304872035980225,-1.6281203031539917,0.0023669004440307617,0.14516513758319058,True,0.007915735244750977,0.48548252157134325,True,0.0023669004440307617,PASS,0,Contrast change should not significantly affect output,Consistent
