mr,total,passed,failed,failure_rate
BrightnessRelation,30,29,1,0.03333333333333333
BlurRelation,30,30,0,0.0
CompositeRelation,30,30,0,0.0
ContrastRelation,30,30,0,0.0
DarkVisibilityRelation,60,60,0,0.0
DustRelation,30,30,0,0.0
FogRelation,30,30,0,0.0
HazeRelation,30,30,0,0.0
NoiseRelation,30,30,0,0.0
RainRelation,30,30,0,0.0
RotationRelation,30,30,0,0.0
SandstormRelation,30,30,0,0.0
SmokeRelation,30,30,0,0.0
SnowRelation,30,30,0,0.0
TemporalSmoothnessRelation,10,10,0,0.0
TranslationRelation,30,30,0,0.0
