mr,total,passed,failed,failure_rate
GlobalBrightnessRelation,50,47,3,0.06
RainRelation,50,49,1,0.02
BlurRelation,50,50,0,0.0
GlobalTranslationRelation,50,50,0,0.0
TemporalSmoothnessRelation,10,10,0,0.0
SnowRelation,50,50,0,0.0
SmokeRelation,50,50,0,0.0
SandstormRelation,50,50,0,0.0
RotationRelation,50,50,0,0.0
NoiseRelation,50,50,0,0.0
HazeRelation,50,50,0,0.0
GlobalRotationRelation,50,50,0,0.0
BrightnessRelation,50,50,0,0.0
GlobalNoiseRelation,50,50,0,0.0
GlobalContrastRelation,50,50,0,0.0
GlobalBlurRelation,50,50,0,0.0
FogRelation,50,50,0,0.0
DustRelation,50,50,0,0.0
DarkVisibilityRelation,100,100,0,0.0
ContrastRelation,50,50,0,0.0
CompositeRelation,50,50,0,0.0
TranslationRelation,50,50,0,0.0
