mr,severity
CompositeRelation,1.1862874031066895
GlobalTranslationRelation,1.0312080383300781
BlurRelation,0.0
TemporalSmoothnessRelation,0.0
SnowRelation,0.0
SmokeRelation,0.0
SandstormRelation,0.0
RotationRelation,0.0
RainRelation,0.0
NoiseRelation,0.0
HazeRelation,0.0
GlobalRotationRelation,0.0
BrightnessRelation,0.0
GlobalNoiseRelation,0.0
GlobalContrastRelation,0.0
GlobalBrightnessRelation,0.0
GlobalBlurRelation,0.0
FogRelation,0.0
DustRelation,0.0
DarkVisibilityRelation,0.0
ContrastRelation,0.0
TranslationRelation,0.0
