mr,max_range_change,max_range_percent_change,range_passed,mean_difference,max_difference
BlurRelation,0.0003160238265991211,0.01938062931767553,True,0.000990748405456543,0.007299065589904785
BrightnessRelation,0.0073282718658447266,0.4494234364708114,True,0.003279123306274414,0.014057040214538574
CompositeRelation,0.006766319274902344,0.4151378028380718,True,0.0029483509063720705,0.009001374244689941
ContrastRelation,0.0005850791931152344,0.03582117947583593,True,0.0015021657943725586,0.007327675819396973
DarkVisibilityRelation,0.0024498701095581055,0.15024402256094682,True,0.0035067355632781984,0.006353259086608887
DustRelation,0.0048980712890625,0.30043836474359553,True,0.002180371284484863,0.006374955177307129
FogRelation,0.0018000602722167969,0.11039291229965925,True,0.0022382545471191406,0.005577683448791504
GlobalBlurRelation,0.0008087158203125,0.049617597858588415,True,0.001872110366821289,0.004788637161254883
GlobalBrightnessRelation,0.006766915321350098,0.41499693156888456,True,0.0025096058845520018,0.005429506301879883
GlobalContrastRelation,0.004334688186645508,0.2658349057642523,True,0.0024067974090576172,0.0056580305099487305
GlobalNoiseRelation,0.0014088153839111328,0.08643584485448083,True,0.0015456533432006835,0.00434422492980957
GlobalRotationRelation,0.008069992065429688,0.49499794440426503,True,0.0025432705879211426,0.008089423179626465
GlobalTranslationRelation,0.005504131317138672,0.3375754873934843,True,0.0020872831344604494,0.009941339492797852
HazeRelation,0.0026483535766601562,0.16220354552066416,True,0.0009743475914001465,0.00560152530670166
NoiseRelation,0.00034630298614501953,0.021241565653722375,True,0.0014435911178588866,0.007421255111694336
RainRelation,0.006001949310302734,0.36824098127715355,True,0.002579345703125,0.008025169372558594
RotationRelation,0.0024727582931518555,0.15164556542306432,True,0.0018716025352478027,0.007956743240356445
SandstormRelation,0.0015853643417358398,0.09724322947636965,True,0.0021070075035095216,0.007237792015075684
SmokeRelation,0.0033609867095947266,0.2058501423482898,True,0.0009694600105285645,0.004899859428405762
SnowRelation,0.002582550048828125,0.15837870748326016,True,0.0025258278846740723,0.009020209312438965
TemporalSmoothnessRelation,,,,0.00010502338409423828,0.00010502338409423828
TranslationRelation,0.0021294355392456055,0.1303736204109326,True,0.0011624312400817871,0.007829904556274414
