mr,range_change,range_percent_change,range_passed
BlurRelation,0.00013971328735351562,0.008568796483261793,True
BrightnessRelation,0.006235480308532715,0.3824300662542446,True
CompositeRelation,0.006766319274902344,0.4149871061347606,True
ContrastRelation,0.00034224987030029297,0.020990626880072194,True
DarkVisibilityRelation,0.0009343624114990234,0.05730565429676275,True
DustRelation,0.0048980712890625,0.30040504258042716,True
FogRelation,0.0011115074157714844,0.0681701863565981,True
GlobalBlurRelation,0.0006660223007202148,0.040848008491453626,True
GlobalBrightnessRelation,0.003075838088989258,0.18864512530812355,True
GlobalContrastRelation,0.0015587806701660156,0.09560203311871265,True
GlobalNoiseRelation,0.0007799863815307617,0.04783757285834635,True
GlobalRotationRelation,0.0038927793502807617,0.23874918870385145,True
GlobalTranslationRelation,0.005504131317138672,0.3375754873934843,True
HazeRelation,0.0010447502136230469,0.06407588086971533,True
NoiseRelation,0.00015985965728759766,0.00980439938912463,True
RainRelation,0.005228519439697266,0.32067185474049686,True
RotationRelation,0.0001462697982788086,0.008970915772152066,True
SandstormRelation,0.0011706352233886719,0.07179657121640855,True
SmokeRelation,0.0004373788833618164,0.026825012198880144,True
SnowRelation,0.0011245012283325195,0.06896711367458064,True
TranslationRelation,0.00018608570098876953,0.011412876544685717,True
TemporalSmoothnessRelation,,,
BlurRelation,0.00010263919830322266,0.006294589237748782,True
BrightnessRelation,0.0073282718658447266,0.4494234364708114,True
CompositeRelation,0.004559755325317383,0.2796376751961567,True
ContrastRelation,0.00034224987030029297,0.02098927491472329,True
DarkVisibilityRelation,0.0024498701095581055,0.15024402256094682,True
DustRelation,0.0009804964065551758,0.060131238653291216,True
FogRelation,0.0018000602722167969,0.11039291229965925,True
GlobalBlurRelation,0.000574946403503418,0.0352599348358448,True
GlobalBrightnessRelation,0.006766915321350098,0.41499693156888456,True
GlobalContrastRelation,0.004334688186645508,0.2658349057642523,True
GlobalNoiseRelation,0.0005471706390380859,0.0335565210235388,True
GlobalRotationRelation,0.006596088409423828,0.40452057108375794,True
GlobalTranslationRelation,0.00453948974609375,0.2783948410841738,True
HazeRelation,0.0010447502136230469,0.06407175386716646,True
NoiseRelation,0.0001837015151977539,0.011265925685680456,True
RainRelation,0.002112269401550293,0.1295398684130902,True
RotationRelation,0.00019550323486328125,0.011989693786188155,True
SandstormRelation,0.0009632110595703125,0.059071174263658724,True
SmokeRelation,0.0004373788833618164,0.026823284452148995,True
SnowRelation,0.0015139579772949219,0.09284701895401805,True
TranslationRelation,0.00018095970153808594,0.011097777541118061,True
DarkVisibilityRelation,0.0009343624114990234,0.05730196335130657,True
BlurRelation,0.0003160238265991211,0.01938062931767553,True
BrightnessRelation,0.006235480308532715,0.3824000670387227,True
CompositeRelation,0.006766319274902344,0.41495455302574996,True
ContrastRelation,0.00034224987030029297,0.02098898029839549,True
DarkVisibilityRelation,0.0009343624114990234,0.05730115903128661,True
DustRelation,0.0048980712890625,0.3003814777082807,True
FogRelation,0.0011115074157714844,0.06816483883742235,True
GlobalBlurRelation,0.0006660223007202148,0.04084480422401101,True
GlobalBrightnessRelation,0.003075838088989258,0.18863032729334742,True
GlobalContrastRelation,0.0015587806701660156,0.09559453374497368,True
GlobalNoiseRelation,0.0007799863815307617,0.04783382030386684,True
GlobalRotationRelation,0.0038927793502807617,0.2387304603427742,True
GlobalTranslationRelation,0.005504131317138672,0.3375490067354638,True
HazeRelation,0.0009124279022216797,0.05595599275650265,True
NoiseRelation,0.0001837015151977539,0.011265767551315727,True
RainRelation,0.0038317441940307617,0.23498738896946234,True
RotationRelation,0.0024727582931518555,0.15164556542306432,True
SandstormRelation,0.001513361930847168,0.09280916227381775,True
SmokeRelation,0.0008243322372436523,0.05055339559853877,True
SnowRelation,0.002582550048828125,0.15837870748326016,True
TranslationRelation,0.00029265880584716797,0.017947734807579566,True
BlurRelation,0.00021219253540039062,0.013018768306056515,True
BrightnessRelation,0.004531979560852051,0.2780530981412081,True
CompositeRelation,0.006766319274902344,0.4151378028380718,True
ContrastRelation,0.00034224987030029297,0.02099824932960014,True
DarkVisibilityRelation,0.0009343624114990234,0.05732646403532076,True
DustRelation,0.0009804964065551758,0.06015694905467125,True
FogRelation,0.0011283159255981445,0.06922620338023872,True
GlobalBlurRelation,0.0008087158203125,0.049617597858588415,True
GlobalBrightnessRelation,0.006171703338623047,0.3786559959219988,True
GlobalContrastRelation,0.002199411392211914,0.13494172766670937,True
GlobalNoiseRelation,0.0014088153839111328,0.08643584485448083,True
GlobalRotationRelation,0.003908634185791016,0.23980863776347244,True
GlobalTranslationRelation,0.00234377384185791,0.14379887846369502,True
HazeRelation,0.0009124279022216797,0.05598070371604301,True
NoiseRelation,0.00019884109497070312,0.012199609850843968,True
RainRelation,0.006001949310302734,0.36824098127715355,True
RotationRelation,0.0002753734588623047,0.01689514313875873,True
SandstormRelation,0.001513361930847168,0.09285014811538621,True
