,mr,severity
0,GlobalBrightnessRelation,0.011696139971415201
1,RainRelation,0.01044929027557373
2,BlurRelation,0.0
3,GlobalTranslationRelation,0.0
4,TemporalSmoothnessRelation,0.0
5,SnowRelation,0.0
6,SmokeRelation,0.0
7,SandstormRelation,0.0
8,RotationRelation,0.0
9,NoiseRelation,0.0
10,HazeRelation,0.0
11,GlobalRotationRelation,0.0
12,BrightnessRelation,0.0
13,GlobalNoiseRelation,0.0
14,GlobalContrastRelation,0.0
15,GlobalBlurRelation,0.0
16,FogRelation,0.0
17,DustRelation,0.0
18,DarkVisibilityRelation,0.0
19,ContrastRelation,0.0
20,CompositeRelation,0.0
21,TranslationRelation,0.0
