mr,param,original,transformed,difference,percent_change,passed,range_change,range_percent_change,range_passed,severity,status,sample_id,expected_behavior,actual_behavior,epsilon
BrightnessRelation,3.0,-1.6304880380630493,-1.6192524433135986,0.011235594749450684,0.689093547221764,False,0.014041900634765625,0.8612079141265984,True,0.011235594749450684,FAIL,0,Output should remain approximately same under localized brightness change.,Violation,0.01
BrightnessRelation,2.275,-1.6377265453338623,-1.6266908645629883,0.011035680770874023,0.6738410672957401,False,0.005651235580444336,0.34506567325838633,True,0.011035680770874023,FAIL,9,Output should remain approximately same under localized brightness change.,Violation,0.01
RainRelation,1.125,-1.6377265453338623,-1.6293779611587524,0.008348584175109863,0.5097663649180393,True,0.006719350814819336,0.4102850217036283,True,0.008348584175109863,PASS,9,Rain should not significantly affect prediction.,Consistent,0.01
ContrastRelation,4.0,-1.6377265453338623,-1.6294207572937012,0.008305788040161133,0.5071532236131462,True,0.0005993843078613281,0.036598536158780885,True,0.008305788040161133,PASS,9,Contrast change should not significantly affect output.,Consistent,0.01
BrightnessRelation,3.0,-1.6377265453338623,-1.6296577453613281,0.00806879997253418,0.4926826806768581,True,0.005651235580444336,0.34506567325838633,True,0.00806879997253418,PASS,9,Output should remain approximately same under localized brightness change.,Consistent,0.01
ContrastRelation,0.1,-1.6377265453338623,-1.6298093795776367,0.007917165756225586,0.4834238624600783,True,0.0005993843078613281,0.036598536158780885,True,0.007917165756225586,PASS,9,Contrast change should not significantly affect output.,Consistent,0.01
NoiseRelation,112.5,-1.6377265453338623,-1.6298749446868896,0.007851600646972656,0.4794204426336404,True,7.414817810058594e-05,0.0045275038764442535,True,0.007851600646972656,PASS,9,Noise should not significantly affect prediction.,Consistent,0.01
ContrastRelation,1.075,-1.6377265453338623,-1.6298751831054688,0.007851362228393555,0.47940588474336243,True,0.0005993843078613281,0.036598536158780885,True,0.007851362228393555,PASS,9,Contrast change should not significantly affect output.,Consistent,0.01
RainRelation,1.5,-1.6377265453338623,-1.6298810243606567,0.007845520973205566,0.4790492164315525,True,0.006719350814819336,0.4102850217036283,True,0.007845520973205566,PASS,9,Rain should not significantly affect prediction.,Consistent,0.01
ContrastRelation,2.05,-1.6377265453338623,-1.629889965057373,0.007836580276489258,0.47850329554612925,True,0.0005993843078613281,0.036598536158780885,True,0.007836580276489258,PASS,9,Contrast change should not significantly affect output.,Consistent,0.01
