mr,total,passed,failed,failure_rate
BlurRelation,120,120,0,0.0
BrightnessRelation,120,120,0,0.0
CompositeRelation,120,120,0,0.0
ContrastRelation,120,120,0,0.0
DarkVisibilityRelation,240,240,0,0.0
DustRelation,120,120,0,0.0
FogRelation,120,120,0,0.0
HazeRelation,120,120,0,0.0
NoiseRelation,120,120,0,0.0
RainRelation,120,120,0,0.0
RotationRelation,120,120,0,0.0
SandstormRelation,120,120,0,0.0
SmokeRelation,120,120,0,0.0
SnowRelation,120,120,0,0.0
TemporalSmoothnessRelation,40,40,0,0.0
TranslationRelation,120,120,0,0.0
