mr,tests,failures,avg_diff,max_diff,avg_percent_change,max_percent_change,failure_rate
blur,90,0,8.289019266764323e-06,3.4332275390625e-05,0.0005075767640183553,0.002102675024913317,0.0
brightness,90,0,0.0011947274208068848,0.002938389778137207,0.0731557356113618,0.17998443163147873,0.0
contrast,90,0,0.0016648703151279027,0.0038143396377563477,0.10194179682388643,0.23350009547108866,0.0
darkness,90,0,0.0013060847918192546,0.0030927658081054688,0.07997455208950238,0.18944038680056327,0.0
fog,90,0,0.003229318724738227,0.005890250205993652,0.19773115578870964,0.3604887416418381,0.0
noise,90,0,0.00014498101340399848,0.0006382465362548828,0.00887732361565105,0.039071147643598106,0.0
rain,90,0,0.0008868283695644802,0.0012993812561035156,0.05430222150421321,0.07959066512974636,0.0
rotation,90,0,0.0014635205268859863,0.0027573108673095703,0.08961285366942394,0.16882961036354446,0.0
snow,90,0,0.0006411115328470866,0.0012729167938232422,0.039256352262852456,0.07791793250258339,0.0
translation,90,0,0.00038259029388427735,0.0015488862991333008,0.02342810459218327,0.09486648147519802,0.0
visibility,90,0,0.003290375073750814,0.005890250205993652,0.20147033508224713,0.3604887416418381,0.0
