mr,max_range_change,max_range_percent_change,range_passed,mean_difference,max_difference
BlurRelation,0.00046122074127197266,0.028162238742705493,True,5.304336547851562e-05,0.00038504600524902344
BrightnessRelation,0.00979149341583252,0.6004862673878882,True,0.0011771082878112792,0.006253480911254883
CompositeRelation,0.011280059814453125,0.6887629048306448,True,0.0018857884407043456,0.011862874031066895
ContrastRelation,0.000960230827331543,0.05863190309446699,True,0.00011445283889770508,0.0009528398513793945
DarkVisibilityRelation,0.009183406829833984,0.5607408177263016,True,0.0024073928594589233,0.009653568267822266
DustRelation,0.004338383674621582,0.2651417715463148,True,0.000859537124633789,0.004338264465332031
FogRelation,0.002530694007873535,0.15519855895320023,True,0.0006234025955200195,0.0025311708450317383
GlobalBlurRelation,0.0007287263870239258,0.04457655969122308,True,0.00018631100654602052,0.0007059574127197266
GlobalBrightnessRelation,0.01016545295715332,0.6235295248039662,True,0.002341998815536499,0.0053675174713134766
GlobalContrastRelation,0.008745670318603516,0.5340125311759747,True,0.0014827227592468261,0.0053327083587646484
GlobalNoiseRelation,0.0023103952407836914,0.14120057907672154,True,0.0003667342662811279,0.0023102760314941406
GlobalRotationRelation,0.010332584381103516,0.6309098488660484,True,0.0017077970504760743,0.007346153259277344
GlobalTranslationRelation,0.013545036315917969,0.827062862471225,True,0.0018211913108825684,0.010312080383300781
HazeRelation,0.0035527944564819336,0.2171302233230242,True,0.0006197464466094971,0.003552675247192383
NoiseRelation,0.0007529258728027344,0.04597381749778442,True,5.46574592590332e-05,0.0007181167602539062
RainRelation,0.007757067680358887,0.47364823913843096,True,0.0022713661193847655,0.008382201194763184
RotationRelation,0.000906825065612793,0.05551990877601547,True,7.820487022399902e-05,0.0008689165115356445
SandstormRelation,0.0032449960708618164,0.19814016562811743,True,0.0007702422142028809,0.0032455921173095703
SmokeRelation,0.003780961036682129,0.231074700303203,True,0.0006367075443267822,0.0038428306579589844
SnowRelation,0.003700852394104004,0.2259748518395689,True,0.0007514882087707519,0.003701448440551758
TemporalSmoothnessRelation,,,,0.00010502338409423828,0.00010502338409423828
TranslationRelation,0.0023125410079956055,0.1412042567510323,True,0.00018497347831726075,0.0023115873336791992
