mr,range_change,range_percent_change,range_passed
BlurRelation,0.00020754337310791016,0.012728903308326607,True
BrightnessRelation,0.004701495170593262,0.288348775173517,True
CompositeRelation,0.00925588607788086,0.5676754557562959,True
ContrastRelation,0.0002605915069580078,0.01598241391843881,True
DarkVisibilityRelation,0.005470633506774902,0.3355210233902449,True
DustRelation,0.0010012388229370117,0.061407271043443526,True
FogRelation,0.0015236139297485352,0.09344521147830119,True
GlobalBlurRelation,0.00015032291412353516,0.009219498605284234,True
GlobalBrightnessRelation,0.007856249809265137,0.4818339544679198,True
GlobalContrastRelation,0.004625797271728516,0.28370612520178384,True
GlobalNoiseRelation,0.0007025003433227539,0.043085253989643135,True
GlobalRotationRelation,0.0038535594940185547,0.23634378423030783,True
GlobalTranslationRelation,0.004671931266784668,0.28653558274361174,True
HazeRelation,0.0009056329727172852,0.05554364068544356,True
NoiseRelation,0.0002942085266113281,0.018044189181476204,True
RainRelation,0.0037839412689208984,0.23207400850827295,True
RotationRelation,0.0001971721649169922,0.012092823705900178,True
SandstormRelation,0.0010613203048706055,0.06509214598163802,True
SmokeRelation,0.0006030797958374023,0.03698766331810701,True
SnowRelation,0.003498554229736328,0.21457085255184913,True
TranslationRelation,0.0010689496994018555,0.06556006660871033,True
DarkVisibilityRelation,0.006327629089355469,0.38808167007810246,True
TemporalSmoothnessRelation,,,
BlurRelation,0.000217437744140625,0.013334878942687317,True
BrightnessRelation,0.004636168479919434,0.2843238908772217,True
CompositeRelation,0.0028448104858398438,0.1744646661668257,True
ContrastRelation,0.00015592575073242188,0.009562511873374457,True
DarkVisibilityRelation,0.005470633506774902,0.3354994131353419,True
DustRelation,0.0009094476699829102,0.055774008472456976,True
FogRelation,0.0014069080352783203,0.08628193052719062,True
GlobalBlurRelation,0.000582575798034668,0.035727825325061906,True
GlobalBrightnessRelation,0.006796121597290039,0.4167880748479188,True
GlobalContrastRelation,0.004312992095947266,0.26450434218554114,True
GlobalNoiseRelation,0.0013527870178222656,0.08296283236930684,True
GlobalRotationRelation,0.001363515853881836,0.08362080336976838,True
GlobalTranslationRelation,0.002865433692932129,0.17572943264549068,True
HazeRelation,0.0007443428039550781,0.045648565854243206,True
NoiseRelation,0.0002434253692626953,0.014928630921583058,True
RainRelation,0.0019071102142333984,0.11695800072648666,True
RotationRelation,0.0007164478302001953,0.04393784125304318,True
SandstormRelation,0.0009989738464355469,0.061264410931863876,True
SmokeRelation,0.0006030797958374023,0.03698528101483286,True
SnowRelation,0.0009183883666992188,0.05632231763950826,True
TranslationRelation,0.0004432201385498047,0.027181513107955836,True
DarkVisibilityRelation,0.006327629089355469,0.3880566744944313,True
BlurRelation,0.0001418590545654297,0.00869971666843979,True
BrightnessRelation,0.004701495170593262,0.288326156039157,True
CompositeRelation,0.0028448104858398438,0.17446221729045977,True
ContrastRelation,0.00015592575073242188,0.009562377649007768,True
DarkVisibilityRelation,0.006327629089355469,0.3880512275300706,True
DustRelation,0.0016396045684814453,0.10055117904010157,True
FogRelation,0.000975489616394043,0.05982334579650655,True
GlobalBlurRelation,0.00054168701171875,0.0332197584381432,True
GlobalBrightnessRelation,0.0038269758224487305,0.2346949615184223,True
GlobalContrastRelation,0.002106904983520508,0.12920906924202086,True
GlobalNoiseRelation,0.001972794532775879,0.12098454718152107,True
GlobalRotationRelation,0.002431631088256836,0.1491233786578444,True
GlobalTranslationRelation,0.0040847063064575195,0.25050066524713394,True
HazeRelation,0.001251816749572754,0.07676951658427414,True
NoiseRelation,0.0002434253692626953,0.014928421375591638,True
RainRelation,0.0037839412689208984,0.23205580377278637,True
RotationRelation,0.00015234947204589844,0.009343057060727774,True
SandstormRelation,0.001268625259399414,0.07780032334919011,True
SmokeRelation,0.0006030797958374023,0.0369847618702831,True
SnowRelation,0.004015326499938965,0.24624584583450201,True
TranslationRelation,0.0006084442138671875,0.0373137427527031,True
BlurRelation,6.985664367675781e-05,0.004285954060308492,True
BrightnessRelation,0.0052607059478759766,0.32276305918329995,True
CompositeRelation,0.0028448104858398438,0.1745392622785015,True
ContrastRelation,0.00015592575073242188,0.009566600530517933,True
DarkVisibilityRelation,0.006327629089355469,0.3882225964525167,True
DustRelation,0.0016396045684814453,0.10059558386601196,True
FogRelation,0.000975489616394043,0.05984976463396654,True
GlobalBlurRelation,0.00054168701171875,0.033234428754337526,True
GlobalBrightnessRelation,0.0061615705490112305,0.3780343131658107,True
GlobalContrastRelation,0.0022052526473999023,0.13530010949086485,True
GlobalNoiseRelation,0.001972794532775879,0.12103797567243216,True
GlobalRotationRelation,0.002431631088256836,0.1491892336555847,True
GlobalTranslationRelation,0.006108403205871582,0.37477230717451787,True
HazeRelation,0.0013102293014526367,0.08038723733250963,True
NoiseRelation,0.0004143714904785156,0.025423167770703622,True
RainRelation,0.0016531944274902344,0.10142937015078188,True
RotationRelation,0.0002682209014892578,0.016456308252037727,True
SandstormRelation,0.001965165138244629,0.12056988512659643,True
SmokeRelation,0.0008237361907958984,0.050539151120702536,True
SnowRelation,0.0021399259567260742,0.13129208419214633,True
TranslationRelation,0.0009315013885498047,0.057150930080632364,True
BlurRelation,2.872943878173828e-05,0.00176220906111776,True
BrightnessRelation,0.005475878715515137,0.33587997187736224,True
CompositeRelation,0.0028448104858398438,0.17449525740462332,True
ContrastRelation,0.00015592575073242188,0.009564188597269834,True
DarkVisibilityRelation,0.006327629089355469,0.3881247176934884,True
DustRelation,0.0029011964797973633,0.17795386688972167,True
FogRelation,0.0012630224227905273,0.07747139005204426,True
GlobalBlurRelation,9.799003601074219e-05,0.006010522191862235,True
GlobalBrightnessRelation,0.010105609893798828,0.6198588652658703,True
GlobalContrastRelation,0.006494402885437012,0.398354304732923,True
GlobalNoiseRelation,0.0006185770034790039,0.03794233534497948,True
