,mr,severity
0,BrightnessRelation,0.010675013065338135
1,GlobalContrastRelation,0.010273098945617676
2,GlobalBrightnessRelation,0.010266304016113281
3,BlurRelation,0.0
4,HazeRelation,0.0
5,TemporalSmoothnessRelation,0.0
6,SnowRelation,0.0
7,SmokeRelation,0.0
8,SandstormRelation,0.0
9,RotationRelation,0.0
10,RainRelation,0.0
11,NoiseRelation,0.0
12,GlobalRotationRelation,0.0
13,GlobalTranslationRelation,0.0
14,GlobalNoiseRelation,0.0
15,GlobalBlurRelation,0.0
16,FogRelation,0.0
17,DustRelation,0.0
18,DarkVisibilityRelation,0.0
19,ContrastRelation,0.0
20,CompositeRelation,0.0
21,TranslationRelation,0.0
