mr,parameter,original_file,transformed_file,prediction_original,prediction_transformed,difference
FogRelation,0.0,results/transformation_samples\FogRelation\FogRelation_0.00_original.jpg,results/transformation_samples\FogRelation\FogRelation_0.00_transformed.jpg,,,
BlurRelation,1.0,results/transformation_samples\BlurRelation\BlurRelation_1.00_original.jpg,results/transformation_samples\BlurRelation\BlurRelation_1.00_transformed.jpg,,,
HazeRelation,0.0,results/transformation_samples\HazeRelation\HazeRelation_0.00_original.jpg,results/transformation_samples\HazeRelation\HazeRelation_0.00_transformed.jpg,,,
FogRelation,0.375,results/transformation_samples\FogRelation\FogRelation_0.38_original.jpg,results/transformation_samples\FogRelation\FogRelation_0.38_transformed.jpg,,,
DarkVisibilityRelation,0.05,results/transformation_samples\DarkVisibilityRelation\DarkVisibilityRelation_0.05_original.jpg,results/transformation_samples\DarkVisibilityRelation\DarkVisibilityRelation_0.05_transformed.jpg,,,
DustRelation,0.0,results/transformation_samples\DustRelation\DustRelation_0.00_original.jpg,results/transformation_samples\DustRelation\DustRelation_0.00_transformed.jpg,,,
BrightnessRelation,0.1,results/transformation_samples\BrightnessRelation\BrightnessRelation_0.10_original.jpg,results/transformation_samples\BrightnessRelation\BrightnessRelation_0.10_transformed.jpg,,,
HazeRelation,0.375,results/transformation_samples\HazeRelation\HazeRelation_0.38_original.jpg,results/transformation_samples\HazeRelation\HazeRelation_0.38_transformed.jpg,,,
CompositeRelation,0.1,results/transformation_samples\CompositeRelation\CompositeRelation_0.10_original.jpg,results/transformation_samples\CompositeRelation\CompositeRelation_0.10_transformed.jpg,,,
FogRelation,0.75,results/transformation_samples\FogRelation\FogRelation_0.75_original.jpg,results/transformation_samples\FogRelation\FogRelation_0.75_transformed.jpg,,,
BlurRelation,8.5,results/transformation_samples\BlurRelation\BlurRelation_8.50_original.jpg,results/transformation_samples\BlurRelation\BlurRelation_8.50_transformed.jpg,,,
DustRelation,0.375,results/transformation_samples\DustRelation\DustRelation_0.38_original.jpg,results/transformation_samples\DustRelation\DustRelation_0.38_transformed.jpg,,,
FogRelation,1.125,results/transformation_samples\FogRelation\FogRelation_1.12_original.jpg,results/transformation_samples\FogRelation\FogRelation_1.12_transformed.jpg,,,
HazeRelation,0.75,results/transformation_samples\HazeRelation\HazeRelation_0.75_original.jpg,results/transformation_samples\HazeRelation\HazeRelation_0.75_transformed.jpg,,,
DarkVisibilityRelation,0.4125,results/transformation_samples\DarkVisibilityRelation\DarkVisibilityRelation_0.41_original.jpg,results/transformation_samples\DarkVisibilityRelation\DarkVisibilityRelation_0.41_transformed.jpg,,,
DustRelation,0.75,results/transformation_samples\DustRelation\DustRelation_0.75_original.jpg,results/transformation_samples\DustRelation\DustRelation_0.75_transformed.jpg,,,
ContrastRelation,0.1,results/transformation_samples\ContrastRelation\ContrastRelation_0.10_original.jpg,results/transformation_samples\ContrastRelation\ContrastRelation_0.10_transformed.jpg,,,
HazeRelation,1.125,results/transformation_samples\HazeRelation\HazeRelation_1.12_original.jpg,results/transformation_samples\HazeRelation\HazeRelation_1.12_transformed.jpg,,,
DustRelation,1.125,results/transformation_samples\DustRelation\DustRelation_1.12_original.jpg,results/transformation_samples\DustRelation\DustRelation_1.12_transformed.jpg,,,
BrightnessRelation,0.825,results/transformation_samples\BrightnessRelation\BrightnessRelation_0.82_original.jpg,results/transformation_samples\BrightnessRelation\BrightnessRelation_0.82_transformed.jpg,,,
FogRelation,1.5,results/transformation_samples\FogRelation\FogRelation_1.50_original.jpg,results/transformation_samples\FogRelation\FogRelation_1.50_transformed.jpg,,,
HazeRelation,1.5,results/transformation_samples\HazeRelation\HazeRelation_1.50_original.jpg,results/transformation_samples\HazeRelation\HazeRelation_1.50_transformed.jpg,,,
DustRelation,1.5,results/transformation_samples\DustRelation\DustRelation_1.50_original.jpg,results/transformation_samples\DustRelation\DustRelation_1.50_transformed.jpg,,,
DarkVisibilityRelation,0.775,results/transformation_samples\DarkVisibilityRelation\DarkVisibilityRelation_0.78_original.jpg,results/transformation_samples\DarkVisibilityRelation\DarkVisibilityRelation_0.78_transformed.jpg,,,
BlurRelation,16.0,results/transformation_samples\BlurRelation\BlurRelation_16.00_original.jpg,results/transformation_samples\BlurRelation\BlurRelation_16.00_transformed.jpg,,,
BrightnessRelation,1.55,results/transformation_samples\BrightnessRelation\BrightnessRelation_1.55_original.jpg,results/transformation_samples\BrightnessRelation\BrightnessRelation_1.55_transformed.jpg,,,
ContrastRelation,1.075,results/transformation_samples\ContrastRelation\ContrastRelation_1.07_original.jpg,results/transformation_samples\ContrastRelation\ContrastRelation_1.07_transformed.jpg,,,
DarkVisibilityRelation,1.1375,results/transformation_samples\DarkVisibilityRelation\DarkVisibilityRelation_1.14_original.jpg,results/transformation_samples\DarkVisibilityRelation\DarkVisibilityRelation_1.14_transformed.jpg,,,
CompositeRelation,0.44999999999999996,results/transformation_samples\CompositeRelation\CompositeRelation_0.45_original.jpg,results/transformation_samples\CompositeRelation\CompositeRelation_0.45_transformed.jpg,,,
BrightnessRelation,2.275,results/transformation_samples\BrightnessRelation\BrightnessRelation_2.27_original.jpg,results/transformation_samples\BrightnessRelation\BrightnessRelation_2.27_transformed.jpg,,,
BlurRelation,23.5,results/transformation_samples\BlurRelation\BlurRelation_23.50_original.jpg,results/transformation_samples\BlurRelation\BlurRelation_23.50_transformed.jpg,,,
DarkVisibilityRelation,1.5,results/transformation_samples\DarkVisibilityRelation\DarkVisibilityRelation_1.50_original.jpg,results/transformation_samples\DarkVisibilityRelation\DarkVisibilityRelation_1.50_transformed.jpg,,,
ContrastRelation,2.05,results/transformation_samples\ContrastRelation\ContrastRelation_2.05_original.jpg,results/transformation_samples\ContrastRelation\ContrastRelation_2.05_transformed.jpg,,,
BlurRelation,31.0,results/transformation_samples\BlurRelation\BlurRelation_31.00_original.jpg,results/transformation_samples\BlurRelation\BlurRelation_31.00_transformed.jpg,,,
BrightnessRelation,3.0,results/transformation_samples\BrightnessRelation\BrightnessRelation_3.00_original.jpg,results/transformation_samples\BrightnessRelation\BrightnessRelation_3.00_transformed.jpg,,,
CompositeRelation,0.7999999999999999,results/transformation_samples\CompositeRelation\CompositeRelation_0.80_original.jpg,results/transformation_samples\CompositeRelation\CompositeRelation_0.80_transformed.jpg,,,
ContrastRelation,3.025,results/transformation_samples\ContrastRelation\ContrastRelation_3.02_original.jpg,results/transformation_samples\ContrastRelation\ContrastRelation_3.02_transformed.jpg,,,
ContrastRelation,4.0,results/transformation_samples\ContrastRelation\ContrastRelation_4.00_original.jpg,results/transformation_samples\ContrastRelation\ContrastRelation_4.00_transformed.jpg,,,
CompositeRelation,1.15,results/transformation_samples\CompositeRelation\CompositeRelation_1.15_original.jpg,results/transformation_samples\CompositeRelation\CompositeRelation_1.15_transformed.jpg,,,
CompositeRelation,1.5,results/transformation_samples\CompositeRelation\CompositeRelation_1.50_original.jpg,results/transformation_samples\CompositeRelation\CompositeRelation_1.50_transformed.jpg,,,
RainRelation,0.0,results/transformation_samples\RainRelation\RainRelation_0.00_original.jpg,results/transformation_samples\RainRelation\RainRelation_0.00_transformed.jpg,,,
NoiseRelation,0.0,results/transformation_samples\NoiseRelation\NoiseRelation_0.00_original.jpg,results/transformation_samples\NoiseRelation\NoiseRelation_0.00_transformed.jpg,,,
RotationRelation,-60.0,results/transformation_samples\RotationRelation\RotationRelation_-60.00_original.jpg,results/transformation_samples\RotationRelation\RotationRelation_-60.00_transformed.jpg,,,
RainRelation,0.375,results/transformation_samples\RainRelation\RainRelation_0.38_original.jpg,results/transformation_samples\RainRelation\RainRelation_0.38_transformed.jpg,,,
NoiseRelation,37.5,results/transformation_samples\NoiseRelation\NoiseRelation_37.50_original.jpg,results/transformation_samples\NoiseRelation\NoiseRelation_37.50_transformed.jpg,,,
RotationRelation,-30.0,results/transformation_samples\RotationRelation\RotationRelation_-30.00_original.jpg,results/transformation_samples\RotationRelation\RotationRelation_-30.00_transformed.jpg,,,
RotationRelation,0.0,results/transformation_samples\RotationRelation\RotationRelation_0.00_original.jpg,results/transformation_samples\RotationRelation\RotationRelation_0.00_transformed.jpg,,,
RainRelation,0.75,results/transformation_samples\RainRelation\RainRelation_0.75_original.jpg,results/transformation_samples\RainRelation\RainRelation_0.75_transformed.jpg,,,
NoiseRelation,75.0,results/transformation_samples\NoiseRelation\NoiseRelation_75.00_original.jpg,results/transformation_samples\NoiseRelation\NoiseRelation_75.00_transformed.jpg,,,
RotationRelation,30.0,results/transformation_samples\RotationRelation\RotationRelation_30.00_original.jpg,results/transformation_samples\RotationRelation\RotationRelation_30.00_transformed.jpg,,,
SandstormRelation,0.0,results/transformation_samples\SandstormRelation\SandstormRelation_0.00_original.jpg,results/transformation_samples\SandstormRelation\SandstormRelation_0.00_transformed.jpg,,,
