mr,parameter_min,parameter_max,parameter_count,difference_mean,difference_max
BlurRelation,1.0,31.0,10,,
BrightnessRelation,0.1,3.0,10,,
CompositeRelation,0.1,1.5,10,,
ContrastRelation,0.1,4.0,10,,
DarkVisibilityRelation,0.05,1.5,10,,
DustRelation,0.0,1.5,10,,
FogRelation,0.0,1.5,10,,
HazeRelation,0.0,1.5,11,,
NoiseRelation,0.0,150.0,10,,
RainRelation,0.0,1.5,10,,
RotationRelation,-60.0,60.0,10,,
SandstormRelation,0.0,1.5,10,,
SmokeRelation,0.0,1.5,10,,
SnowRelation,0.0,1.5,10,,
TranslationRelation,0.0,80.0,10,,
