mr,param,original,transformed,difference,percent_change,passed,range_change,range_percent_change,range_passed,severity,status,sample_id,expected_behavior,actual_behavior,epsilon
BrightnessRelation,3.0,-1.6304880380630493,-1.6192524433135986,0.011235594749450684,0.689093547221764,False,0.014041900634765625,0.8612079141265984,True,0.011235594749450684,FAIL,0,Output should remain approximately same under localized brightness change.,Violation,0.01
BrightnessRelation,2.275,-1.6377265453338623,-1.6266908645629883,0.011035680770874023,0.6738410672957401,True,0.005651235580444336,0.34506567325838633,True,0.011035680770874023,PASS,9,Output should remain approximately same under localized brightness change.,Consistent,0.2
BrightnessRelation,2.275,-1.6377265453338623,-1.6266908645629883,0.011035680770874023,0.6738410672957401,False,0.005651235580444336,0.34506567325838633,True,0.011035680770874023,FAIL,9,Output should remain approximately same under localized brightness change.,Violation,0.01
BrightnessRelation,2.275,-1.6362495422363281,-1.6266908645629883,0.009558677673339844,0.5841817879721294,True,0.005651235580444336,0.34537715554982,True,0.009558677673339844,PASS,5,Output should remain approximately same under localized brightness change.,Consistent,0.2
RainRelation,1.125,-1.6377265453338623,-1.6293779611587524,0.008348584175109863,0.5097663649180393,True,0.006719350814819336,0.4102850217036283,True,0.008348584175109863,PASS,9,Rain should not significantly affect prediction.,Consistent,0.2
RainRelation,1.125,-1.6377265453338623,-1.6293779611587524,0.008348584175109863,0.5097663649180393,True,0.006719350814819336,0.4102850217036283,True,0.008348584175109863,PASS,9,Rain should not significantly affect prediction.,Consistent,0.01
ContrastRelation,4.0,-1.6377265453338623,-1.6294207572937012,0.008305788040161133,0.5071532236131462,True,0.0005993843078613281,0.036598536158780885,True,0.008305788040161133,PASS,9,Contrast change should not significantly affect output.,Consistent,0.2
ContrastRelation,4.0,-1.6377265453338623,-1.6294207572937012,0.008305788040161133,0.5071532236131462,True,0.0005993843078613281,0.036598536158780885,True,0.008305788040161133,PASS,9,Contrast change should not significantly affect output.,Consistent,0.01
BrightnessRelation,2.275,-1.634773850440979,-1.6266908645629883,0.008082985877990723,0.49444031242653047,True,0.005651235580444336,0.34568892339638824,True,0.008082985877990723,PASS,6,Output should remain approximately same under localized brightness change.,Consistent,0.2
BrightnessRelation,3.0,-1.6377265453338623,-1.6296577453613281,0.00806879997253418,0.4926826806768581,True,0.005651235580444336,0.34506567325838633,True,0.00806879997253418,PASS,9,Output should remain approximately same under localized brightness change.,Consistent,0.2
