mr,original,transformed,difference
brightness,-1.6328997611999512,-1.6326736211776733,0.00022614002227783203
rotation,-1.6328997611999512,-1.6328997611999512,0.0
translation,-1.6328997611999512,-1.6334896087646484,0.0005898475646972656
noise,-1.6328997611999512,-1.63274085521698,0.0001589059829711914
blur,-1.6328997611999512,-1.632912039756775,1.2278556823730469e-05
contrast,-1.6328997611999512,-1.6309640407562256,0.001935720443725586
rain,-1.6328997611999512,-1.6335933208465576,0.0006935596466064453
snow,-1.6328997611999512,-1.6323778629302979,0.0005218982696533203
fog,-1.6328997611999512,-1.6280726194381714,0.004827141761779785
visibility,-1.6328997611999512,-1.6291621923446655,0.0037375688552856445
darkness,-1.6328997611999512,-1.6335753202438354,0.0006755590438842773
