mr,param,original,transformed,difference,percent_change,passed,severity,status,sample_id,expected_behavior,actual_behavior
TranslationRelation,80.0,-1.6486568450927734,-1.6219806671142578,0.026676177978515625,1.6180542286513369,False,0.026676177978515625,FAIL,794,Small translation should preserve prediction consistency,Violation
TranslationRelation,60.0,-1.6486568450927734,-1.624773383140564,0.023883461952209473,1.4486609227802207,False,0.023883461952209473,FAIL,794,Small translation should preserve prediction consistency,Violation
TranslationRelation,80.0,-1.6433184146881104,-1.6220097541809082,0.02130866050720215,1.2966840357841432,False,0.02130866050720215,FAIL,366,Small translation should preserve prediction consistency,Violation
TranslationRelation,80.0,-1.6414700746536255,-1.6204800605773926,0.02099001407623291,1.2787318887518084,False,0.02099001407623291,FAIL,365,Small translation should preserve prediction consistency,Violation
LessSensitiveRelation,1.5,-1.6486568450927734,-1.6280711889266968,0.02058565616607666,1.2486311958148153,False,0.02058565616607666,FAIL,794,Output should not change drastically under degradation,Violation
FogRelation,1.125,-1.6486568450927734,-1.6280711889266968,0.02058565616607666,1.2486311958148153,False,0.02058565616607666,FAIL,794,Fog should not significantly affect prediction,Violation
FogRelation,0.75,-1.6486568450927734,-1.6280711889266968,0.02058565616607666,1.2486311958148153,False,0.02058565616607666,FAIL,794,Fog should not significantly affect prediction,Violation
LessSensitiveRelation,1.1375,-1.6486568450927734,-1.6280711889266968,0.02058565616607666,1.2486311958148153,False,0.02058565616607666,FAIL,794,Output should not change drastically under degradation,Violation
FogRelation,1.5,-1.6486568450927734,-1.6280711889266968,0.02058565616607666,1.2486311958148153,False,0.02058565616607666,FAIL,794,Fog should not significantly affect prediction,Violation
TranslationRelation,80.0,-1.6437444686889648,-1.6235394477844238,0.020205020904541016,1.2292061812134663,False,0.020205020904541016,FAIL,1821,Small translation should preserve prediction consistency,Violation
